horario_id,deporte,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,año_min,año_max,genero
130,GYM JUVENIL,VIERNES,15:00,16:00,20,0,activo,100,,2005-2009,,2005,2009,Mixto
131,MAMAS FIT,VIERNES,16:00,17:00,20,0,activo,60,,,,,,Femenino
132,Básquet,MARTES,14:30,16:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
133,Básquet,MARTES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
134,Básquet,MARTES,16:00,17:30,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
135,Básquet,MARTES,16:00,17:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
136,Básquet,MARTES,17:30,19:00,20,0,activo,120,Estándar,2009,,2009,2009,Mixto
137,Básquet,MARTES,17:30,19:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
138,Básquet,JUEVES,14:30,16:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
139,Básquet,JUEVES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
140,Básquet,JUEVES,16:00,17:30,20,0,activo,120,Estándar,2011,,2011,2011,Mixto
141,Básquet,JUEVES,16:00,17:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
142,Básquet,JUEVES,17:30,19:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
143,Básquet,JUEVES,17:30,19:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
144,Básquet,SABADO,8:30,10:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
145,Básquet,SABADO,8:30,10:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
146,Básquet,SABADO,10:00,11:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
147,Básquet,SABADO,10:00,11:30,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
148,Básquet,SABADO,11:30,13:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
149,Básquet,SABADO,11:30,13:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
150,MAMAS FIT,LUNES,17:00,18:00,20,0,activo,60,Estándar,,,,,Femenino
151,GYM JUVENIL,MIERCOLES,15:00,16:00,20,0,activo,100,,2005-2009,,2005,2009,Mixto
152,MAMAS FIT,MIERCOLES,16:00,17:00,20,0,activo,60,,,,,,Femenino
153,MAMAS FIT,MIERCOLES,17:00,18:00,20,0,activo,60,,,,,,Femenino
154,MAMAS FIT,VIERNES,17:00,18:00,20,0,activo,60,,,,,,Femenino
